Repository Name,Total Closed Issues,Issue Number,Issue Title,Issue Status,Assignees,Labels,Created At,Issue Closed At
[],[],[],[],[],[],[],[],[]
ChicoState/BlxMusicMaker,0,44,implement unit testing,Done,None,02-12-2020 12:08,17-12-2020 21:04,None
ChicoState/BlxMusicMaker,0,43,"As a user, I would like the wave buttons to have pictures of the waves instead of the names.",Done,KyleRhoads45,01-12-2020 13:31,08-12-2020 12:35,Easy
ChicoState/BlxMusicMaker,0,42,"on loadup, the no wave buttons 'appear' to be selected/highlighted",Done,None,30-11-2020 14:51,08-12-2020 12:35,None
ChicoState/BlxMusicMaker,0,41,arp continues to play sounds when holding notes then deactivating arp.,Done,None,30-11-2020 13:27,30-11-2020 14:48,None
ChicoState/BlxMusicMaker,0,40,Opening a second version of the plugin on FL studio causes the first one to be overridden.,Done,None,23-11-2020 15:46,01-12-2020 14:17,None
ChicoState/BlxMusicMaker,0,38,"Can't move sustain slider when you bring sustain to 1, close the VST, reopen it, and try to move the slider.",Done,KyleRhoads45,15-11-2020 22:23,17-11-2020 21:39,None
ChicoState/BlxMusicMaker,0,37,Popping and cracking noises on FL studio when an note is pressed.,Done,blexc,15-11-2020 22:18,23-11-2020 15:42,None
ChicoState/BlxMusicMaker,0,36,Tremolo at full depth is wayyy to loud.,Done,blexc,15-11-2020 22:17,23-11-2020 15:42,None
ChicoState/BlxMusicMaker,0,35,"As a user, I would like a low-pass and high-pass filter built-in.",Done,None,03-11-2020 10:47,23-11-2020 15:45,Easy
ChicoState/BlxMusicMaker,0,34,"If the sample rate in a DAW isn't 48000 (our VST's default), the notes will sound off-key.",Done,None,31-10-2020 15:38,31-10-2020 15:50,None
ChicoState/BlxMusicMaker,0,32,Some notes don't register when hitting long notes quickly and repeatedly,Done,None,26-10-2020 14:34,11-11-2020 20:17,None
ChicoState/BlxMusicMaker,0,31,"As a user, I would like the effects components laid out.",Done,KyleRhoads45,26-10-2020 12:20,31-10-2020 13:13,Medium
ChicoState/BlxMusicMaker,0,30,"As a chiptune person, I would like my instruments to be bit-crushed to 8 bits, which will produce a more authentic NES sound.",Done,blexc,25-10-2020 18:23,31-10-2020 15:50,Medium
ChicoState/BlxMusicMaker,0,29,"As a user, I would like to have a layout with all the buttons and everything laid out.",Done,KyleRhoads45,19-10-2020 12:41,26-10-2020 12:21,Medium
ChicoState/BlxMusicMaker,0,28,"As a user, I would like noise to have different sounds depending on the note I play.",Done,blexc,19-10-2020 12:25,23-11-2020 15:42,Hard
ChicoState/BlxMusicMaker,0,27,"As a user, I would like to have the option to have my notes slide up/down in pitch in varying speeds-- in key steps.",Done,blexc,16-10-2020 12:32,15-11-2020 14:33,Medium
ChicoState/BlxMusicMaker,0,26,"As a user, I would like to be able to have instruments with tremolo/vibrato with varying speed and depth.",Done,None,16-10-2020 12:32,15-11-2020 19:35,Medium
ChicoState/BlxMusicMaker,0,25,"As a chiptune person, I would like to recognize these instruments as authentic 8-bit sounds similar to the NES/ Famicom.",Done,None,16-10-2020 12:29,15-11-2020 22:25,None
ChicoState/BlxMusicMaker,0,24,"As a chiptune person, I would like to have a Pulse wave instead of a Square, and be able to adjust the Duty of it.",Done,blexc,16-10-2020 12:26,21-10-2020 12:52,Medium
ChicoState/BlxMusicMaker,0,23,"As an experienced music person, I would like to have lots of effects I can apply to my instrument, so that I can create the sounds I have in my head.",Done,None,16-10-2020 12:24,15-11-2020 22:25,None
ChicoState/BlxMusicMaker,0,22,"As a user, I would like to be able to save my Instruments in a way the DAW can understand.",Done,blexc,05-10-2020 11:59,15-11-2020 22:26,Medium
ChicoState/BlxMusicMaker,0,21,"As a user, I want to have the plugin to be styled cool.",Done,KyleRhoads45,23-09-2020 12:36,26-10-2020 12:21,Medium
ChicoState/BlxMusicMaker,0,20,"As a user, I would like simple easily managed arpegiators.",Done,None,21-09-2020 13:55,15-11-2020 22:26,None
ChicoState/BlxMusicMaker,0,19,"As a user, I would like to be able to start and stop my song/pattern.",Done,None,18-09-2020 17:39,15-11-2020 22:25,Easy
ChicoState/BlxMusicMaker,0,18,"As a user, I would like there to be keyboard shortcuts to quickly save, export, or place patterns.",Done,None,18-09-2020 17:38,15-11-2020 22:26,Easy
ChicoState/BlxMusicMaker,0,17,"As a music noob, I would like to be able to make melodies and chords despite my lack of musical knowledge.",Done,None,18-09-2020 17:38,15-11-2020 22:25,None
ChicoState/BlxMusicMaker,0,16,"As a user, I would like to be able to hold notes on my keyboard to make the duration of the sound longer.",Done,None,18-09-2020 17:38,16-10-2020 12:14,Easy
ChicoState/BlxMusicMaker,0,15,"As a user, I would like to be able to save and load my instrument configurations.",Done,KyleRhoads45,18-09-2020 17:38,17-11-2020 21:39,Medium
ChicoState/BlxMusicMaker,0,14,"As a user, I would like to be able to arpeggiate my chords, and be able to modify its speed.",Done,"blexc,KyleRhoads45,jjohhns7",18-09-2020 17:38,24-11-2020 12:09,Hard
ChicoState/BlxMusicMaker,0,13,"As a user, I want to hear a sine wave.",Done,jjohhns7,18-09-2020 17:38,06-10-2020 12:43,Easy
ChicoState/BlxMusicMaker,0,12,"As a user, I want to be able to play different notes using my computer keyboard, so that I can create melodies.",Done,None,18-09-2020 17:38,06-10-2020 12:43,Medium
ChicoState/BlxMusicMaker,0,11,"As a user, I would like to be able to save and load my songs, so that I can come back to them later.",Done,None,18-09-2020 17:38,15-11-2020 22:26,Hard
ChicoState/BlxMusicMaker,0,10,"As a user, I would like to be able to record what I'm playing, and save the result as a "".wav"", so that I can combine it with my other recordings.",Done,None,18-09-2020 17:38,15-11-2020 22:25,Hard
ChicoState/BlxMusicMaker,0,9,"As a game developer, I want to be able to create songs quickly, so that I have enough time to complete a game jam.",Done,None,18-09-2020 17:38,15-11-2020 22:25,None
ChicoState/BlxMusicMaker,0,8,"As a user, I would like to have 5 different kinds of waves/ sounds to choose from (sine, triangle, square, noise, and saw)",Done,"KyleRhoads45,jjohhns7",18-09-2020 17:38,16-10-2020 12:52,Medium
ChicoState/BlxMusicMaker,0,7,"As a user, I would like to change the way the waves sounds by manipulating the envelope (ADSR, Attack Decay Sustain Release), so I can create unique sounds.",Done,"blexc,KyleRhoads45",18-09-2020 17:38,14-10-2020 15:00,Medium
ChicoState/BlxMusicMaker,0,6,"As a user, I would like to have a separate Instrument Window connecting to the main DAW.",Done,blexc,18-09-2020 17:38,15-11-2020 22:26,Hard
ChicoState/BlxMusicMaker,0,5,"As a user, I would like to be able to open this plugin in a DAW, so that I can use it with my other musical projects.",Done,blexc,18-09-2020 17:38,16-10-2020 18:48,Easy
